,Aircraft_Type,Check_A_Part_Price,Check_B_Part_Price,Check_C_Part_Price
0,A319,48.55,66.2,1135.2484878233777
1,A319,6.644,11.92,800.85
2,A319,7.18,52.85,1299.753970291061
3,A319,5.651,51.46,679.8669094708558
4,A319,11.329676322854628,71.24852508172647,892.04
5,A319,8.033999999999999,43.78,1240.06
6,A319,7.817,32.65,2132.78
7,A319,5.849,11.56,1913.35
8,A319,8.444305251674079,42.44,1262.32
9,A319,7.435,59.7,801.54
10,A319,9.586,29.02,751.16
11,A319,7.812876461900656,41.32,889.4986437482139
12,A319,9.175,60.28502519550331,1393.34
13,A319,6.037999999999999,34.6,1879.1485193944045
14,A319,9.19565847366589,17.714889942371677,2585.79
15,A319,7.818,54.44,1122.42
16,A319,8.105,63.78,1417.74
17,A319,8.250907798176526,341.71,516.78
18,A319,9.544,60.45575816333323,1796.69
19,A319,8.984,20.99,777.26
20,A319,6.074,36.24,2082.16
21,A319,7.699,24.0,479.48
22,A319,7.797000000000001,59.65,2049.79
23,A319,11.622693114158842,67.05,832.01
24,A319,7.041,54.53,1432.11
25,A319,6.818,44.89,1171.15
26,A319,8.664,25.23,785.73
27,A319,7.6770000000000005,42.53,600.26
28,A319,73.39,15.59,692.8932879857795
29,A319,9.152038425861642,26.02,1366.99
30,A319,8.954,19.83,1084.1866967127082
31,A319,8.275188499665777,19.07,1305.47
32,A319,9.25,41.48,1637.9426975760796
33,A319,6.776,4.19,1187.19
34,A319,9.412,67.95,1020.3399455735273
35,A319,5.715,31.014602759266964,1040.9804244633467
36,A319,7.375,41.49,515.69
37,A319,14.110681732789324,36.55,2123.7
38,A319,8.656,64.76,798.69
39,A319,7.557,39.48569902694704,1730.3531552474612
40,A319,9.042268075830192,12.84,780.2300420594142
41,A319,10.426556444064218,29.07,1286.09
42,A319,7.1339999999999995,48.8,1935.19
43,A319,8.101,44.82,775.25
44,A319,8.918,27.21,1777.87
45,A319,9.363,26.09,2435.7989784262945
46,A319,7.965,30.05,393.98350654785224
47,A319,8.411,45.223786408945536,1134.92
48,A319,9.046,55.897468112179524,1106.26
49,A319,6.892,60.45,1494.71
50,A319,7.952431535399279,32.67,1217.56
51,A319,6.981,62.85,1726.75
52,A319,7.204,24.92,1282.7177904612852
53,A319,9.172,69.66,1316.9833847034697
54,A319,6.292999999999999,48.71,1882.2835959481242
55,A319,6.438,68.65,2190.96
56,A319,9.402000000000001,49.403675508588115,880.98
57,A319,7.245,29.56,900.18
58,A319,6.85,27.48933766552205,967.9
59,A319,0.0,0.0,0.0
