,Aircraft_Type,Check_A_Part_Price,Check_B_Part_Price,Check_C_Part_Price
0,A319,48.55,66.2,
1,A319,6.644,11.92,
2,A319,7.18,52.85,1369.37
3,A319,,,895.59
4,A319,,35.05,892.04
5,A319,8.033999999999999,43.78,
6,A319,,32.65,2132.78
7,A319,5.849,,1913.35
8,A319,,42.44,1262.32
9,A319,7.435,59.7,801.54
10,A319,9.586,29.02,
11,A319,,41.32,620.76
12,A319,,11.82,1393.34
13,A319,6.037999999999999,,
14,A319,7.755,25.48,
15,A319,7.818,,1122.42
16,A319,8.105,63.78,
17,A319,8.447000000000001,,
18,A319,,13.13,1796.69
19,A319,8.984,20.99,
20,A319,6.074,36.24,
21,A319,7.699,24.0,479.48
22,A319,,59.65,
23,A319,,67.05,
24,A319,7.041,54.53,1432.11
25,A319,6.818,44.89,
26,A319,,25.23,785.73
27,A319,7.6770000000000005,,600.26
28,A319,,15.59,1827.38
29,A319,6.309,26.02,1366.99
30,A319,,19.83,2165.44
31,A319,,19.07,1305.47
32,A319,,41.48,1117.24
33,A319,6.776,4.19,
34,A319,,,
35,A319,5.715,,683.78
36,A319,,,
37,A319,,,2123.7
38,A319,8.656,,798.69
39,A319,,,1106.86
40,A319,8.191,12.84,595.35
41,A319,,29.07,1286.09
42,A319,7.1339999999999995,,1935.19
43,A319,8.101,44.82,775.25
44,A319,8.918,,
45,A319,,,379.03
46,A319,,30.05,232.27
47,A319,,22.36,1134.92
48,A319,9.046,12.78,1106.26
49,A319,6.892,60.45,1494.71
50,A319,8.499,32.67,
51,A319,6.981,62.85,1726.75
52,A319,,24.92,2097.04
53,A319,9.172,69.66,1200.07
54,A319,6.292999999999999,48.71,923.62
55,A319,,68.65,2190.96
56,A319,,17.24,880.98
57,A319,,,900.18
58,A319,,4.42,967.9
59,A319,7.222,,
60,A319,7.726,47.47,213.72
61,A319,7.77,17.32,468.61
62,A319,8.008,50.79,
63,A319,8.593,16.3,
64,A319,7.041,55.99,1341.07
65,A319,,,
66,A319,8.163,,559.31
67,A319,9.423,16.87,
68,A319,6.374,26.29,725.97
69,A319,6.336,42.9,589.64
70,A319,6.41,,1988.38
71,A319,6.935,,
72,A319,,23.34,882.35
73,A319,6.747999999999999,38.79,1833.51
74,A319,8.462,38.49,1756.79
75,A319,8.824,50.08,1255.7
76,A319,7.699,36.32,
77,A319,,50.65,
78,A319,7.715,,521.51
79,A319,,42.7,
80,A319,,21.86,990.63
81,A319,,,
82,A319,6.175,,1531.81
83,A319,8.685,64.28,757.68
84,A319,,,1211.88
85,A319,6.539,47.69,1546.52
86,A319,8.485,43.36,
87,A319,8.322000000000001,68.54,
88,A319,,28.03,1819.05
89,A319,,56.52,1706.76
90,A319,,,
91,A319,6.745,,
92,A319,6.1,56.7,
93,A319,6.337999999999999,31.24,1544.03
94,A319,8.056000000000001,54.76,
95,A319,8.686,,1428.49
96,A319,6.706,68.67,988.11
97,A319,6.35,,1160.33
98,A319,9.482999999999999,,2014.63
99,A319,,62.63,309.84
100,A319,6.8,,1581.27
101,A319,7.587999999999999,17.43,308.44
102,A319,,63.48,510.38
103,A319,7.205,64.46,
104,A319,6.644,69.43,
105,A319,6.478,43.52,1499.25
106,A319,9.215,27.12,1257.55
107,A319,9.508,25.97,1093.63
108,A319,,23.38,1959.07
109,A319,6.507999999999999,39.5,
110,A319,6.707000000000001,,1394.44
111,A319,9.101,12.85,
112,A319,5.72,,2117.02
113,A319,,66.6,
114,A319,,63.06,2126.65
115,A319,6.312,,
116,A319,7.106,42.17,
117,A319,6.992999999999999,59.37,226.84
118,A319,7.74,51.59,1637.24
119,A319,8.031,,490.04
120,A319,8.343,13.24,
121,A319,7.77,57.19,1195.11
122,A319,8.25,35.83,1988.27
123,A319,7.526,65.23,1424.35
124,A319,,,1799.02
125,A319,,,1025.93
126,A319,8.649,11.3,298.11
127,A319,5.716,,682.65
128,A319,5.898,,1737.17
129,A319,5.7170000000000005,,
130,A319,,22.06,2029.57
131,A319,6.521,35.61,1504.74
132,A319,7.99,64.4,
133,A319,5.981,11.63,986.14
134,A319,6.169,15.72,429.26
135,A319,,42.82,2039.93
136,A319,5.976,41.81,2125.0
137,A319,7.196000000000001,58.33,1679.83
138,A319,8.589,60.48,1859.33
139,A319,,,1635.98
140,A319,,,1847.99
141,A319,,40.52,1889.23
142,A319,,57.41,847.62
143,A319,9.277000000000001,,
144,A319,7.311,,573.5
145,A319,6.035,57.87,994.85
146,A319,,20.38,888.7
147,A319,7.215,20.89,2159.09
148,A319,8.318,34.9,
149,A319,8.493,45.05,1668.78
150,A319,7.7589999999999995,40.68,1544.98
151,A319,9.488,66.43,
152,A319,6.8660000000000005,,463.17
153,A319,,69.12,482.77
154,A319,8.109,,509.33
155,A319,6.093999999999999,68.9,2088.09
156,A319,,,1160.26
157,A319,6.767,56.3,603.34
158,A319,8.147,37.16,2126.42
159,A319,8.645,69.89,387.67
160,A319,7.791,21.73,988.81
161,A319,6.062,,1147.68
162,A319,,,1122.93
163,A319,,55.21,1812.73
164,A319,7.88,25.86,
165,A319,,,731.09
166,A319,9.336,32.23,1035.26
167,A319,9.023,13.52,715.63
168,A319,7.282,63.32,
169,A319,7.876,69.42,1797.23
170,A319,,,1599.74
171,A319,7.943,,309.45
172,A319,5.625,,1650.21
173,A319,7.412000000000001,45.13,1504.3
174,A319,7.827999999999999,27.5,777.9
175,A319,8.283999999999999,44.28,1353.47
176,A319,,,731.86
177,A319,9.579,19.96,
178,A319,,,1299.37
179,A319,,35.71,
180,A319,8.874,,1270.96
181,A319,7.477,38.63,886.78
182,A319,5.859,,1096.44
183,A319,6.295,,
184,A319,,24.53,1421.31
185,A319,7.42,52.41,371.4
186,A319,,,1490.24
187,A319,,17.38,
188,A319,,38.81,828.44
189,A319,,,2118.9
190,A319,9.386000000000001,58.61,
191,A319,,25.58,1130.12
192,A319,8.752,,411.81
193,A319,7.053999999999999,59.15,1065.97
194,A319,9.31,37.08,673.12
195,A319,7.702000000000001,,1091.69
196,A319,8.22,51.24,356.81
197,A319,8.262,16.87,867.18
198,A319,9.144,,612.12
199,A319,8.912,,2086.86
200,A319,9.226,61.7,
201,A319,6.608,,964.48
202,A319,,52.98,2048.1
203,A319,6.2620000000000005,30.89,925.73
204,A319,7.303999999999999,67.56,1421.27
205,A319,8.878,12.35,1128.43
206,A319,,23.05,1214.65
207,A319,,,1503.91
208,A319,7.818,69.12,1224.12
209,A319,,29.87,1470.8
210,A319,7.425,,464.29
211,A319,,37.18,566.33
212,A319,5.621,,1912.04
213,A319,,10.77,577.65
214,A319,7.381,,2039.53
215,A319,9.589,27.7,862.88
216,A319,,45.63,230.97
217,A319,6.5089999999999995,57.54,2165.18
218,A319,,50.47,670.08
219,A319,,40.54,2088.76
220,A319,,65.4,1237.26
221,A319,6.417999999999999,31.65,299.53
222,A319,9.132,45.48,1149.8
223,A319,8.6,63.65,1464.13
224,A319,8.863999999999999,,402.31
225,A319,8.839,60.38,
226,A319,,48.99,542.6
227,A319,6.172999999999999,53.77,845.33
228,A319,6.902,53.74,
229,A319,9.367,62.8,944.99
230,A319,8.524,,
231,A319,5.777,40.84,
232,A319,,39.71,750.17
233,A319,7.059,,
234,A319,7.922999999999999,67.19,1989.38
235,A319,,44.78,1484.34
236,A319,,34.22,
237,A319,9.037,69.91,248.7
238,A319,,,1420.84
239,A319,,25.23,
240,A319,,,707.03
241,A319,9.55,15.27,1389.47
242,A319,,,
243,A319,7.242000000000001,45.83,284.86
244,A319,8.927,64.64,
245,A319,9.112,11.5,1137.79
246,A319,6.096,67.55,925.87
247,A319,8.469,,
248,A319,6.757000000000001,30.06,1183.41
249,A319,9.019,56.41,1427.76
250,A319,8.182,47.94,791.92
251,A319,9.449,,634.19
252,A319,6.681,14.62,
253,A319,8.607000000000001,39.01,1143.78
254,A319,7.52,,2102.66
255,A319,,12.92,1435.47
256,A319,5.962999999999999,57.07,1130.3
257,A319,7.607,52.42,1314.11
258,A319,7.6770000000000005,24.15,473.78
259,A319,6.029,,2086.97
260,A319,8.077,,1770.53
261,A319,7.976,61.37,223.57
262,A319,6.687,54.03,709.81
263,A319,9.415,17.86,1184.99
264,A319,9.341000000000001,66.02,
265,A319,,46.71,
266,A319,5.882999999999999,42.54,1751.29
267,A319,6.624,53.96,1999.1
268,A319,6.276,29.4,2157.19
269,A319,,40.96,
270,A319,7.225,55.52,2023.91
271,A319,7.1579999999999995,47.58,1386.98
272,A319,6.227,,1164.23
273,A319,,,1827.49
274,A319,5.768,44.77,1709.94
275,A319,,17.5,
276,A319,7.279,47.85,
277,A319,9.368,,603.22
278,A319,8.832,45.47,
279,A319,,,250.14
280,A319,5.619,,
281,A319,7.279,34.34,1285.62
282,A319,7.097,,
283,A319,,,2170.26
284,A319,8.251,46.13,1826.33
285,A319,,31.16,978.7
286,A319,,,886.52
287,A319,6.542999999999999,,722.28
288,A319,7.928999999999999,39.39,
289,A319,8.2,68.64,
290,A319,6.224,21.67,
291,A319,8.171,35.65,570.58
292,A319,6.547999999999999,13.53,
293,A319,7.566,18.46,1075.96
294,A319,,50.42,1428.93
295,A319,,,1052.5
296,A319,6.1610000000000005,67.21,
297,A319,9.463,35.1,1055.75
298,A319,9.533999999999999,42.51,
299,A319,7.852,36.61,
300,A319,6.671,13.81,1803.05
301,A319,6.672999999999999,63.63,867.83
302,A319,8.774,61.43,1969.47
303,A319,6.524,22.58,1656.43
304,A319,7.855,60.05,
305,A319,6.407,23.36,
306,A319,9.425,30.83,
307,A319,6.769,38.33,623.31
308,A319,5.7170000000000005,29.68,1770.79
309,A319,7.109,15.88,
310,A319,,10.87,1944.5
311,A319,8.402999999999999,55.48,1252.0
312,A319,,26.46,1489.33
313,A319,9.335,,2067.32
314,A319,9.424,,
315,A319,9.38,43.83,1505.3
316,A319,9.215,25.89,1782.98
317,A319,9.501,58.84,1546.79
318,A319,9.466000000000001,30.17,1430.57
319,A319,,20.54,
320,A319,8.607000000000001,62.92,
321,A319,9.349,,561.69
322,A319,6.35,,2018.76
323,A319,,69.27,
324,A319,8.192,39.7,
325,A319,7.103,63.08,730.85
326,A319,,,1909.74
327,A319,6.013,26.17,1110.24
328,A319,6.77,24.31,
329,A319,,11.51,863.61
330,A319,9.573,30.12,1778.59
331,A319,9.238,45.29,1812.21
332,A319,8.551,60.56,
333,A319,,,1624.93
334,A319,6.445,63.96,1978.08
335,A319,5.763,58.81,
336,A319,,22.63,
337,A319,8.645,23.34,1305.03
338,A319,5.763999999999999,56.29,1562.57
339,A319,,47.02,507.28
340,A319,,38.13,1631.47
341,A319,6.45,,
342,A319,,32.59,
343,A319,5.94,46.73,275.07
344,A319,,30.85,2114.18
345,A319,7.966,13.25,735.8
346,A319,7.722,37.39,1185.51
347,A319,5.971,,
348,A319,,61.61,
349,A319,,46.23,1265.65
350,A319,,38.78,780.96
351,A319,,25.6,292.95
352,A319,,62.83,1587.12
353,A319,8.605,36.63,1187.43
354,A319,6.0920000000000005,,
355,A319,7.974,12.42,1721.59
356,A319,,40.23,393.52
357,A319,,16.39,
358,A319,7.3260000000000005,,353.74
359,A319,7.121,69.51,1079.82
360,A319,6.0,,1221.61
361,A319,,,2069.23
362,A319,8.66,13.23,1008.64
363,A319,,55.47,1547.17
364,A319,,,
365,A319,5.959,51.88,
366,A319,,13.72,585.14
367,A319,6.997000000000001,17.24,1883.81
368,A319,,17.46,1469.19
369,A319,,67.65,
370,A319,7.0089999999999995,27.41,
371,A319,9.427999999999999,26.88,889.76
372,A319,8.283999999999999,,
373,A319,,44.52,
374,A319,6.32,25.85,330.99
375,A319,7.822,51.58,1311.93
376,A319,6.856,59.62,1472.61
377,A319,8.215,57.41,408.71
378,A319,5.905,27.4,
379,A319,8.647,48.18,
380,A319,,19.69,
381,A319,9.082,33.32,1982.32
382,A319,6.602,,
383,A319,,48.06,
384,A319,,24.51,1888.77
385,A319,,42.81,1677.19
386,A319,8.927999999999999,,1161.18
387,A319,6.827999999999999,28.26,2000.72
388,A319,8.106,58.31,1166.57
389,A319,7.575,39.39,
390,A319,7.917999999999999,26.91,1134.37
391,A319,,,2127.63
392,A319,5.684,54.9,
393,A319,7.906000000000001,45.66,842.33
394,A319,,,
395,A319,,63.31,701.42
396,A319,6.38,,477.84
397,A319,7.761,,
398,A319,,58.93,2123.49
399,A319,7.156000000000001,56.53,
400,A319,8.812999999999999,,668.71
401,A319,,58.92,
402,A319,,28.61,
403,A319,9.333,36.46,1768.37
404,A319,6.03,20.76,2162.75
405,A319,,27.71,
406,A319,6.337000000000001,49.15,
407,A319,5.922999999999999,18.06,1264.45
408,A319,9.146,15.22,
409,A319,8.257,36.89,1745.64
410,A319,9.235,16.17,1966.54
411,A319,5.686,,343.6
412,A319,6.791,61.08,1113.58
413,A319,5.7620000000000005,,810.71
414,A319,,,1507.15
415,A319,9.088,39.64,1265.32
416,A319,,56.2,
417,A319,,66.58,359.65
418,A319,7.917000000000001,28.51,1210.62
419,A319,,,
420,A319,9.092,44.78,
421,A319,9.488,,421.23
422,A319,8.06,16.66,564.07
423,A319,,28.2,1846.23
424,A319,8.492,,
425,A319,8.69,,1868.33
426,A319,6.335,,1578.3
427,A319,8.414,,2180.59
428,A319,,23.68,
429,A319,8.429,45.61,386.77
430,A319,9.362,59.78,
431,A319,6.681,,1353.22
432,A319,5.9639999999999995,27.92,
433,A319,9.161,,2023.46
434,A319,6.579,59.19,
435,A319,7.607,12.03,
436,A319,9.002,23.07,586.29
437,A319,,,1021.46
438,A319,,27.36,1012.43
439,A319,7.527,21.57,584.57
440,A319,7.325,,1019.55
441,A319,7.537000000000001,37.13,2129.23
442,A319,8.231,62.07,1117.44
443,A319,9.405,28.67,
444,A319,6.398,,946.67
445,A319,5.704,,614.31
446,A319,7.59,31.47,383.95
447,A319,,,1070.63
448,A319,6.455,,
449,A319,,47.5,1826.96
450,A319,5.767,37.98,1306.31
451,A319,7.746,42.8,
452,A319,,18.87,1341.0
453,A319,,,2163.17
454,A319,6.199,53.53,1533.58
455,A319,8.258,67.92,871.83
456,A319,8.947000000000001,55.7,1336.21
457,A319,,,642.63
458,A319,7.769,,
459,A319,9.189,37.79,
460,A319,8.014,,840.01
461,A319,8.677999999999999,64.01,
462,A319,28.214000000000002,44.46,
463,A319,6.888999999999999,48.28,990.59
464,A319,9.424,57.35,
465,A319,7.944,,
466,A319,8.302,46.9,1275.06
467,A319,,,659.28
468,A319,7.526,26.14,923.14
469,A319,6.968999999999999,23.56,703.21
470,A319,5.8229999999999995,42.63,
471,A319,9.465,,580.62
472,A319,,29.49,
473,A319,6.8020000000000005,65.99,948.68
474,A319,,28.65,
475,A319,5.787999999999999,,2127.07
476,A319,8.092,50.71,1982.81
477,A319,8.546,16.83,1629.84
478,A319,,,
479,A319,7.236000000000001,20.22,701.5
480,A319,7.622000000000001,63.96,607.9
481,A319,8.652000000000001,28.0,
482,A319,8.818999999999999,66.26,562.82
483,A319,8.945,20.8,
484,A319,8.588,47.78,
485,A319,6.282,47.48,948.09
486,A319,,36.43,355.73
487,A319,9.258,13.85,
488,A319,8.503,63.27,290.53
489,A319,,33.3,1622.3
490,A319,8.916,29.68,
491,A319,8.562000000000001,62.84,760.46
492,A319,8.955,24.61,832.68
493,A319,8.709,25.39,839.87
494,A319,,50.84,576.1
495,A319,,38.13,1756.02
496,A319,6.004,36.87,2049.08
497,A319,8.288,25.34,1795.81
498,A319,8.673,52.72,422.75
499,A319,,54.34,745.09
500,A319,7.7860000000000005,62.75,
501,A319,,,1230.61
502,A319,7.6979999999999995,,
503,A319,7.5489999999999995,,1943.07
504,A319,7.773,22.4,
505,A319,6.351,26.98,791.29
506,A319,7.446000000000001,14.38,261.88
507,A319,9.05,,1344.13
508,A319,,,426.08
509,A319,8.349,,
510,A319,9.389,15.46,1973.32
511,A319,5.972,52.74,588.4
512,A319,5.791,57.89,1371.02
513,A319,7.102,,542.31
514,A319,7.6770000000000005,46.41,
515,A319,9.515,15.17,760.89
516,A319,,,1938.17
517,A319,7.994,59.29,
518,A319,7.325,12.63,1255.08
519,A319,9.247,18.69,2181.63
