,Aircraft_Type,Check_A_Part_Price,Check_B_Part_Price,Check_C_Part_Price
32,A319,9.25,41.48,1117.24
62,A319,8.008,50.79,65.64
153,A319,8.25,69.12,482.77
176,A319,7.114,41.32,731.86
241,A319,9.55,15.27,1389.47
244,A319,8.927,64.64,265.94
309,A319,7.109,15.88,405.35
338,A319,5.763999999999999,56.29,1562.57
339,A319,9.478,47.02,507.28
353,A319,8.605,36.63,1187.43
361,A319,8.443,65.85,2069.23
370,A319,7.0089999999999995,27.41,1014.93
411,A319,5.686,59.96,343.6
425,A319,8.69,15.4,1868.33
473,A319,6.8020000000000005,65.99,948.68
494,A319,6.484,50.84,576.1
508,A319,7.468,12.87,426.08
539,A319,7.7379999999999995,18.53,1878.91
570,A319,7.815,37.37,1526.21
577,A319,5.968,42.68,1606.51
663,A319,8.592,52.47,1599.36
688,A319,8.148,40.16,1717.83
689,A319,7.561,50.27,1772.59
703,A319,6.605,13.31,1387.21
792,A319,8.593,69.69,1126.82
798,A319,8.853,33.67,768.49
839,A319,6.899,11.83,1639.64
919,A319,8.841000000000001,52.18,691.63
928,A319,6.676,64.66,2143.25
934,A319,8.991,38.73,1096.51
999,A319,6.17,114.77,967.19
1017,A320,11.094375,241.91875,1105.9875
1056,A320,14.62125,32.6,844.6125
1071,A320,12.319375,40.58125,1725.6875
1099,A320,14.468125,46.39375,1386.15
1120,A320,10.219375,21.575,1492.075
1132,A320,14.13375,58.3,572.5875
1173,A320,9.3775,69.75625,1618.1875
1179,A320,10.981875,66.74375,1402.41875
1264,A320,10.913125,83.2375,1930.5375
1270,A320,11.080625,55.55,2331.44375
1276,A320,11.844375,59.43125,1931.3125
1287,A320,7.939375,35.125,1091.925
1363,A320,14.778125,82.04375,1773.23125
1449,A320,12.15625,33.6875,1781.6
1453,A320,12.055625,26.775,2758.23125
1476,A320,7.5775,34.31875,1456.75625
1487,A320,7.68625,41.00625,393.325
1501,A320,6.620625,71.86875,1898.63125
1512,A320,4.979375,70.10625,1565.6375
1544,A320,8.826875,16.25625,1235.95625
1596,A320,13.671875,52.025,2381.84375
1610,A320,14.671875,68.14375,1382.08125
1648,A320,10.8425,50.84375,1509.325
1731,A320,14.67,56.0375,855.35
1734,A320,10.953125,49.63125,2302.74375
1952,A320,11.30125,69.39375,246.18125
1979,A320,10.529375,26.31875,1291.425
2196,A321,12.709052499999999,77.670955,969.5582387000001
2210,A321,13.57177188,43.682222499999995,1425.159524
2231,A321,11.04790588,55.051655000000004,2473.704091
2250,A321,15.36002525,60.28516750000001,1609.42789
2259,A321,11.82040238,83.67920125,2490.684209
2270,A321,12.09899688,81.14034000000001,2815.014251
2273,A321,9.590541625,49.1639175,2538.473924
2298,A321,16.60778425,62.24732625,2251.750156
2336,A321,11.951572,42.67649125,2475.208978
2388,A321,11.58697075,78.15655125,1432.613659
2443,A321,12.59424438,45.02529625,983.1032949999999
2457,A321,15.07786288,41.94733875,1594.888991
2486,A321,13.446841500000001,51.23796625,1043.733254
2512,A321,11.27360013,68.17072375,2205.287903
2538,A321,8.634850375,62.72272375,2255.87401
2539,A321,9.05086475,36.14460375,2079.2523760000004
2543,A321,12.84539038,50.70729375,1206.36688
2605,A321,12.04248113,82.32895875,2007.158186
2679,A321,11.72414413,65.46322625,1715.078128
2688,A321,9.049053500000001,54.57722,2161.707391
2689,A321,12.61065888,58.91499625,2560.537186
2730,A321,12.56439463,76.31123375,2171.96588
2830,A321,11.98524513,52.579725,1083.7063560000001
2896,A321,10.32468913,50.82343375,2757.327864
2933,A321,10.1957375,69.24121375,1039.181516
2989,A321,8.02115425,79.444185,1190.99941
