,Aircraft_Type,Check_A_Part_Price,Check_B_Part_Price,Check_C_Part_Price
3,A319,5.651,51.46,895.59
7,A319,5.849,11.56,1913.35
11,A319,8.6,41.32,620.76
21,A319,7.699,24.0,479.48
25,A319,6.818,44.89,1171.15
28,A319,73.39,15.59,1827.38
29,A319,6.309,26.02,1366.99
41,A319,8.427,29.07,1286.09
42,A319,7.1339999999999995,48.8,1935.19
52,A319,7.204,24.92,2097.04
60,A319,7.726,47.47,213.72
61,A319,7.77,17.32,468.61
72,A319,5.775,23.34,882.35
85,A319,6.539,47.69,1546.52
86,A319,8.485,43.36,1505.31
100,A319,6.8,61.27,1581.27
101,A319,7.587999999999999,17.43,308.44
104,A319,6.644,69.43,1789.25
106,A319,9.215,27.12,1257.55
114,A319,8.673,63.06,2126.65
126,A319,8.649,11.3,298.11
134,A319,6.169,15.72,429.26
142,A319,6.89,57.41,847.62
166,A319,9.336,32.23,1035.26
172,A319,5.625,29.95,1650.21
181,A319,7.477,38.63,886.78
192,A319,8.752,32.46,411.81
194,A319,9.31,37.08,673.12
229,A319,9.367,62.8,944.99
246,A319,6.096,67.55,925.87
247,A319,8.469,18.01,1748.57
255,A319,9.22,12.92,1435.47
258,A319,7.6770000000000005,24.15,473.78
266,A319,5.882999999999999,42.54,1751.29
267,A319,6.624,53.96,1999.1
272,A319,6.227,34.38,1164.23
274,A319,5.768,44.77,1709.94
277,A319,9.368,36.03,603.22
279,A319,6.553,21.3,250.14
288,A319,7.928999999999999,39.39,2022.89
290,A319,6.224,21.67,1801.31
301,A319,6.672999999999999,63.63,867.83
302,A319,8.774,61.43,1969.47
318,A319,9.466000000000001,30.17,1430.57
321,A319,9.349,68.51,561.69
322,A319,6.35,25.77,2018.76
325,A319,7.103,63.08,730.85
330,A319,9.573,30.12,1778.59
337,A319,8.645,23.34,1305.03
345,A319,7.966,13.25,735.8
380,A319,7.567,19.69,409.41
381,A319,9.082,33.32,1982.32
383,A319,7.662000000000001,48.06,2023.47
386,A319,8.927999999999999,20.71,1161.18
404,A319,6.03,20.76,2162.75
407,A319,5.922999999999999,18.06,1264.45
421,A319,9.488,29.66,421.23
438,A319,6.787000000000001,27.36,1012.43
443,A319,9.405,28.67,362.76
448,A319,6.455,14.28,1794.94
459,A319,9.189,37.79,695.52
475,A319,5.787999999999999,38.11,2127.07
477,A319,8.546,16.83,1629.84
485,A319,6.282,47.48,948.09
503,A319,7.5489999999999995,31.09,1943.07
507,A319,9.05,44.71,1344.13
510,A319,9.389,15.46,1973.32
517,A319,7.994,59.29,375.09
519,A319,9.247,18.69,2181.63
551,A319,8.908,36.88,1856.37
557,A319,8.896,12.32,1316.56
562,A319,8.08,24.63,1989.24
564,A319,7.699,55.59,699.43
570,A319,7.815,37.37,1526.21
579,A319,9.405,23.57,619.9
581,A319,7.28,58.98,1673.51
584,A319,8.36,16.28,1273.4
590,A319,7.6160000000000005,12.54,457.47
592,A319,9.072000000000001,61.28,454.64
594,A319,6.59,41.76,1067.0
604,A319,6.167000000000001,52.97,2081.89
619,A319,9.399,25.96,261.44
622,A319,5.899,63.23,1277.0
640,A319,8.442,17.05,1023.87
642,A319,9.347000000000001,58.04,2039.09
651,A319,7.566,67.38,1842.56
655,A319,8.442,11.71,256.6
659,A319,7.343999999999999,15.43,325.93
661,A319,8.385,14.67,1201.59
668,A319,9.482000000000001,59.58,257.41
678,A319,6.409,41.2,256.84
730,A319,8.587,61.17,1656.64
734,A319,6.229,68.85,1551.99
736,A319,6.8870000000000005,57.55,1837.75
738,A319,8.525,38.67,925.06
740,A319,8.794,34.01,680.5
746,A319,6.506,50.17,1474.71
749,A319,9.406,10.14,1273.52
759,A319,7.746,17.58,1992.92
764,A319,9.228,43.5,2054.42
777,A319,8.263,26.38,1668.99
778,A319,6.481,59.54,1281.33
784,A319,5.669,35.6,2193.13
786,A319,8.273,62.78,963.53
807,A319,7.539,25.19,989.96
810,A319,5.869,29.1,1588.25
817,A319,6.388,45.81,1584.18
828,A319,8.461,28.34,1189.43
829,A319,8.757,54.99,638.94
832,A319,7.265,15.35,1605.27
834,A319,7.691,11.38,882.71
835,A319,9.021,68.94,604.48
851,A319,6.6610000000000005,31.4,813.19
865,A319,9.557,43.46,1156.24
870,A319,6.9510000000000005,11.84,2054.59
873,A319,6.901,68.98,1234.9
885,A319,6.228,28.19,406.02
890,A319,6.728,63.63,944.93
892,A319,8.765,54.89,2072.45
895,A319,9.402999999999999,13.77,269.78
902,A319,7.537000000000001,48.74,1485.52
912,A319,6.665,37.44,1361.87
918,A319,9.397,45.33,452.81
943,A319,7.874,47.8,1460.7
953,A319,8.991,24.08,1106.92
956,A319,7.143,40.14,1225.12
967,A319,5.867000000000001,51.33,816.16
983,A319,7.7010000000000005,15.16,1432.9
989,A319,6.894,58.68,442.48
998,A319,6.17,37.19,2107.09
1023,A320,11.96478877,67.83561473,1373.454
1025,A320,12.01006343,32.5466566,1780.518794
1041,A320,5.703070822999999,45.49131309,1332.038703
1042,A320,9.667290622000001,57.76063362,1656.7864789999999
1054,A320,10.38126714,62.03437707,817.8777348
1061,A320,8.971130226,20.55542177,1854.841077
1062,A320,7.752070398,72.08512901,1443.895883
1077,A320,7.13175647,37.69508448,1572.811646
1085,A320,13.41330659,54.58509039,1213.946353
1088,A320,10.09523934,54.24480418,2311.482702
1089,A320,11.03157491,45.87920539,2021.248466
1105,A320,5.32687848,65.10189514,2041.8670829999999
1112,A320,9.236681877,53.50846666,1584.331997
1116,A320,13.24788665,55.2817476,1904.6204469999998
1128,A320,7.822869273999999,38.27575426,1499.2136970000001
1129,A320,9.4455576,28.92987505,1916.695926
1141,A320,7.155337652999999,56.55899196,1510.0041449999999
1151,A320,11.96590887,37.35601653,909.2506504
1160,A320,10.2178772,30.46672953,1643.263931
1161,A320,5.482972352000001,40.54178362,1319.791802
1176,A320,7.820575384,53.48875242,1136.03418
1180,A320,7.624283149,59.31644735,1049.0452189999999
1182,A320,11.94345392,69.64850941,1584.642728
1193,A320,13.83537283,36.48372504,1695.754524
1199,A320,13.250702800000003,52.17773426,2186.707452
1206,A320,5.942235684,23.31005711,1983.638205
1207,A320,13.03301142,58.36780115,1984.715186
1212,A320,8.674423674,46.77434984,1803.86943
1215,A320,11.34021619,56.09245652,2029.5920370000001
1226,A320,7.9923930489999995,65.01598472,1652.503271
1228,A320,5.608805131,68.39144177,1235.5969289999998
1255,A320,9.972377983,17.36920873,2083.201004
1279,A320,9.018210394,51.852883500000004,1106.0951949999999
1281,A320,6.115697217999999,62.62452826,2101.391772
1294,A320,11.33968436,40.0041767,1781.263746
1306,A320,12.81254902,62.19650088,1801.524562
1311,A320,12.4156564,67.92109966,2175.560931
1319,A320,10.11086923,52.26438611,1647.830247
1320,A320,8.548345788999999,37.81684911,2041.110968
1339,A320,9.382998685,47.68675544,1416.9694960000002
1357,A320,11.40507866,41.74392936,870.0848957999999
1366,A320,12.85669362,38.44078074,1904.339414
1376,A320,6.738087429,43.83296605,1157.369778
1384,A320,9.63537661,38.34501909,2221.635499
1387,A320,6.698494307000001,51.28311884,1324.596425
1391,A320,13.95056756,73.59697284,1334.913788
1399,A320,4.84966652,39.28191486,917.3482411
