,Aircraft_Type,Check_A_Part_Price,Check_B_Part_Price,Check_C_Part_Price
0,A319,48.55,29.718520349345155,1962.72
1,A319,6.644,11.92,630.0731276929316
2,A319,9.292916531907489,52.85,1369.37
3,A319,5.651,51.46,895.59
4,A319,10.01565257656749,50.006693996666215,1515.3192945099865
5,A319,8.033999999999999,47.48090824587712,1345.612502359112
6,A319,13.282883902192811,32.65,2132.78
7,A319,5.849,11.56,1913.35
8,A319,10.01565257656749,50.006693996666215,1515.3192945099865
9,A319,10.47284334297564,59.7,1715.3070184930086
10,A319,7.462894761711887,33.52793616054514,751.16
11,A319,8.6,41.32,620.76
12,A319,8.215147748155303,11.82,727.5069253958968
13,A319,12.421535941660782,34.6,1945.37
14,A319,15.461403279149248,25.48,2585.79
15,A319,8.703159366479152,41.534141006402024,1122.42
16,A319,10.01565257656749,50.006693996666215,1515.3192945099865
17,A319,8.447000000000001,341.71,6565.886884067669
18,A319,8.276918450519853,13.13,754.5332019614193
19,A319,10.01565257656749,50.006693996666215,1515.3192945099865
20,A319,6.074,66.94713759339056,2082.16
21,A319,7.699,24.0,479.48
22,A319,7.797000000000001,64.76910637505989,2049.79
23,A319,8.465,67.05,1718.2896197584316
24,A319,10.22906125807127,54.53,1608.646064413809
25,A319,6.818,44.89,1171.15
26,A319,8.84747226625348,25.23,1004.1652221467796
27,A319,7.6770000000000005,29.693683913047803,600.26
28,A319,73.39,15.59,1827.38
29,A319,6.309,26.02,1366.99
30,A319,12.187565949640145,64.02681939439331,2165.44
31,A319,7.416,19.07,805.0388134523075
32,A319,10.01565257656749,50.006693996666215,1515.3192945099865
33,A319,8.91953586394932,42.93090308113712,1187.19
34,A319,10.01565257656749,50.006693996666215,1515.3192945099865
35,A319,8.486750225727674,17.58,846.3400193023163
36,A319,6.676262464980359,28.450036427059388,515.69
37,A319,8.164,47.646599087308054,1356.745482226433
38,A319,8.656,33.71726964073231,798.69
39,A319,7.557,46.872950312319006,1304.7630300767116
40,A319,10.01565257656749,50.006693996666215,1515.3192945099865
41,A319,8.427,29.07,1286.09
42,A319,7.1339999999999995,48.8,1935.19
43,A319,8.101,33.597073564921565,775.25
44,A319,8.918,27.21,1043.572302501074
45,A319,9.363,49.174778463274876,1459.4258119258
46,A319,5.729444078180978,22.338097146197573,232.27
47,A319,8.744917992669937,41.80370293220392,1134.92
48,A319,9.764585489947772,12.78,1106.26
49,A319,10.01565257656749,50.006693996666215,1515.3192945099865
50,A319,8.499,44.00791677578763,1217.56
51,A319,6.981,57.590154674608534,1726.75
52,A319,7.204,24.92,2097.04
53,A319,10.01565257656749,50.006693996666215,1515.3192945099865
54,A319,6.292999999999999,38.65850963351622,923.62
55,A319,6.438,68.65,1618.5545919628346
56,A319,9.402000000000001,35.11107107951276,880.98
57,A319,7.245,37.32030867618115,900.18
58,A319,8.186955932959144,38.20192430440933,967.9
59,A319,8.173181393113738,10.93,709.1455619277174
60,A319,7.726,47.47,213.72
61,A319,7.77,17.32,468.61
62,A319,10.052708260480877,50.79,1531.487076356516
63,A319,11.679614020655439,60.74786812893908,2013.39
64,A319,9.433601255808359,46.24931821252875,1341.07
65,A319,8.2613865082816,38.68239148095863,990.18
66,A319,8.163,28.30724394532681,559.31
67,A319,9.423,49.25125115931992,1464.564110326102
68,A319,10.01565257656749,50.006693996666215,1515.3192945099865
69,A319,6.336,30.5198312529082,589.64
70,A319,9.814584560525933,45.74,1427.3018117337003
71,A319,10.01565257656749,50.006693996666215,1515.3192945099865
72,A319,5.775,23.34,882.35
73,A319,10.01565257656749,50.006693996666215,1515.3192945099865
74,A319,11.479110166393516,38.49,1756.79
75,A319,10.01565257656749,50.006693996666215,1515.3192945099865
76,A319,7.699,36.32,1127.4312198669927
77,A319,9.838125419443731,48.86061850015685,1462.16
78,A319,6.898934654465011,23.4,521.51
79,A319,11.624793296192177,60.393987232746355,1996.98
80,A319,10.01565257656749,50.006693996666215,1515.3192945099865
81,A319,10.01565257656749,50.006693996666215,1515.3192945099865
82,A319,6.175,45.111529213414784,1186.4108902564233
83,A319,8.685,32.69873558986887,757.68
84,A319,8.293,47.8110153838049,1367.7928237870822
85,A319,6.539,47.69,1546.52
86,A319,8.485,43.36,1505.31
87,A319,11.141595880813366,57.27483227690748,1852.34
88,A319,7.024,28.03,938.4648346579509
89,A319,8.865,55.58239516662697,1706.76
90,A319,7.135,33.39753133069046,734.85
91,A319,8.652729517577455,21.1,918.9602433562393
92,A319,10.33138371924003,56.7,1653.4147820834153
93,A319,6.337999999999999,31.24,951.8201626159255
94,A319,8.056000000000001,54.76,1475.5036062321533
95,A319,10.62268600642527,25.29,1428.49
96,A319,10.01565257656749,50.006693996666215,1515.3192945099865
97,A319,8.829804927990564,42.351668414974,1160.33
98,A319,10.01565257656749,50.006693996666215,1515.3192945099865
99,A319,9.557,49.42204018048719,1476.03964342011
100,A319,6.8,61.27,1581.27
101,A319,7.587999999999999,17.43,308.44
102,A319,10.01565257656749,50.006693996666215,1515.3192945099865
103,A319,7.205,46.424310495521404,1274.6183461282735
104,A319,6.644,69.43,1789.25
105,A319,6.478,43.52,1177.445513201492
106,A319,9.215,27.12,1257.55
107,A319,9.193762572649064,25.97,1093.63
108,A319,12.91948299648017,23.38,1959.07
109,A319,10.01565257656749,50.006693996666215,1515.3192945099865
110,A319,6.707000000000001,45.78958711834753,1231.9704694057675
111,A319,9.102338425962103,44.110937367527484,1241.91
112,A319,12.025809735227524,62.98264431860709,2117.02
113,A319,4.9829141253083895,66.6,469.05
114,A319,8.673,63.06,2126.65
115,A319,8.800173006845583,42.160387272424984,1151.46
116,A319,9.646247608280557,42.17,1353.650050406284
117,A319,6.992999999999999,21.185590079729756,226.84
118,A319,10.090430826810373,51.59,1547.9916727324076
119,A319,8.031,26.733114751927893,490.04
120,A319,8.282105303390157,13.24,756.8025839631043
121,A319,7.77,57.19,1500.3443451921205
122,A319,12.552880398105636,35.83,1988.27
123,A319,10.01565257656749,50.006693996666215,1515.3192945099865
124,A319,10.963470284933955,56.124988926206925,1799.02
125,A319,10.264897696084292,55.29,1624.3254309709062
126,A319,8.649,11.3,298.11
127,A319,7.85760840083209,16.17,682.65
128,A319,5.898,14.71,632.2256686746596
129,A319,10.01565257656749,50.006693996666215,1515.3192945099865
130,A319,11.733666386396791,61.09678908569705,2029.57
131,A319,10.01565257656749,50.006693996666215,1515.3192945099865
132,A319,10.694463420161428,64.4,1812.2715222013717
133,A319,10.01565257656749,50.006693996666215,1515.3192945099865
134,A319,6.169,15.72,429.26
135,A319,6.8,42.82,1185.4184455553009
136,A319,5.976,68.06584401881929,2125.0
137,A319,10.377779066531504,58.33,1679.83
138,A319,8.589,59.507532305005775,1859.33
139,A319,10.41880417180231,52.60903881558766,1635.98
140,A319,7.353,30.75,1007.2549949965501
141,A319,9.568444815225973,40.52,1319.6093203810078
142,A319,6.89,57.41,847.62
143,A319,10.01565257656749,50.006693996666215,1515.3192945099865
144,A319,7.311,46.55941225853432,1283.6960066354736
145,A319,8.276987531026476,38.78309981643822,994.85
146,A319,8.45,20.38,893.4497217987903
147,A319,13.85483947332241,20.89,2159.09
148,A319,8.318,47.842879007157,1369.9337814538746
149,A319,10.01565257656749,50.006693996666215,1515.3192945099865
150,A319,9.575989328491872,40.68,1322.910239656186
151,A319,9.488,66.43,1771.934590196548
152,A319,6.8660000000000005,27.02271197540328,463.17
153,A319,8.25,69.12,1741.257867339849
154,A319,8.109,14.49,767.9400397150807
155,A319,6.093999999999999,68.9,1601.2485097913284
156,A319,8.005,10.22,685.9928763594044
157,A319,6.969073951830142,30.340204650782265,603.34
158,A319,13.07915621281022,37.16,2126.42
159,A319,6.248587318984816,25.689291007766712,387.67
160,A319,10.01565257656749,50.006693996666215,1515.3192945099865
161,A319,8.787545198285489,42.07887174606249,1147.68
162,A319,8.697000000000001,48.325931537174874,1402.3906996824487
163,A319,11.009271146140009,56.42064444642644,1812.73
164,A319,7.88,25.86,954.2026986654646
165,A319,9.488,15.33,869.8363794778509
166,A319,9.336,32.23,1035.26
167,A319,9.023,31.405222715494723,715.63
168,A319,7.51173565090463,33.843215788963036,765.78
169,A319,10.43391622499362,69.42,1797.23
170,A319,9.879836883127556,62.47,1599.74
171,A319,7.943,47.36492465687546,1337.8194164519873
172,A319,5.625,29.95,1650.21
173,A319,9.978902100058106,49.76936566442019,1504.3
174,A319,7.827999999999999,47.2183519894558,1327.971011184742
175,A319,9.745740876974605,44.28,1397.1809233476981
176,A319,7.114,46.30832690651975,1266.825260221149
177,A319,9.579,49.450080169037044,1477.9236861668874
178,A319,8.141,64.99,1661.4665158367868
179,A319,10.01565257656749,50.006693996666215,1515.3192945099865
180,A319,8.874,48.551525990507756,1417.5486799633393
181,A319,7.477,38.63,886.78
182,A319,5.859,43.20270752018774,1096.44
183,A319,10.820688458029283,25.04,1473.43
184,A319,10.622462960154639,24.53,1421.31
185,A319,7.42,24.34818022338945,371.4
186,A319,8.786,48.43936603630836,1410.0125089762298
187,A319,8.964,48.66623503457532,1425.2561275637925
188,A319,10.01565257656749,50.006693996666215,1515.3192945099865
189,A319,11.873575684580995,67.06,2118.9
190,A319,10.4214463463517,58.61,1692.8195059308562
191,A319,6.9270000000000005,25.58,889.0891627479276
192,A319,8.752,32.46,411.81
193,A319,8.514577410601566,40.316799349480675,1065.97
194,A319,9.31,37.08,673.12
195,A319,9.56184336611831,40.38,1316.7210160152265
196,A319,8.22,47.71797360361676,1361.5412274000482
197,A319,8.60283820076507,16.87,867.18
198,A319,10.772266213216014,66.05,1846.312252226648
199,A319,10.495005350694218,60.17,1725.003468863845
200,A319,9.226,61.7,1671.890970597765
201,A319,8.175530772833346,38.12817216150994,964.48
202,A319,5.974,66.20150507030175,2048.1
