,Aircraft_Type,Check_A_Part_Price,Check_B_Part_Price,Check_C_Part_Price
2,A319,7.18,52.85,1369.37
4,A319,8.889,35.05,892.04
5,A319,8.034,43.78,1240.06
7,A319,5.849,11.56,1913.35
13,A319,6.038,34.6,1945.37
16,A319,8.105,63.78,1417.74
19,A319,8.984,20.99,777.26
20,A319,6.074,36.24,2082.16
21,A319,7.699,24,479.48
26,A319,8.664,25.23,785.73
28,A319,73.39,15.59,1827.38
29,A319,6.309,26.02,1366.99
31,A319,7.416,19.07,1305.47
32,A319,9.25,41.48,1117.24
34,A319,9.412,67.95,1850.75
35,A319,5.715,17.58,683.78
36,A319,7.375,41.49,515.69
37,A319,8.164,36.55,2123.7
39,A319,7.557,25.12,1106.86
41,A319,8.427,29.07,1286.09
42,A319,7.134,48.8,1935.19
45,A319,9.363,26.09,379.03
51,A319,6.981,62.85,1726.75
52,A319,7.204,24.92,2097.04
53,A319,9.172,69.66,1200.07
54,A319,6.293,48.71,923.62
58,A319,6.85,4.42,967.9
59,A319,7.222,10.93,243.06
60,A319,7.726,47.47,213.72
61,A319,7.77,17.32,468.61
66,A319,8.163,65.51,559.31
67,A319,9.423,16.87,1920.76
70,A319,6.41,45.74,1988.38
71,A319,6.935,44.09,1375.1
75,A319,8.824,50.08,1255.7
77,A319,8.999,50.65,1462.16
78,A319,7.715,23.4,521.51
79,A319,7.21,42.7,1996.98
80,A319,7.729,21.86,990.63
81,A319,7.863,16.35,638.16
84,A319,8.293,34.66,1211.88
85,A319,6.539,47.69,1546.52
86,A319,8.485,43.36,1505.31
87,A319,8.322,68.54,1852.34
88,A319,7.024,28.03,1819.05
90,A319,7.135,35.78,734.85
91,A319,6.745,21.1,534.64
92,A319,6.1,56.7,1282.06
93,A319,6.338,31.24,1544.03
94,A319,8.056,54.76,233.84
96,A319,6.706,68.67,988.11
98,A319,9.483,13.82,2014.63
101,A319,7.588,17.43,308.44
103,A319,7.205,64.46,1931.71
105,A319,6.478,43.52,1499.25
107,A319,9.508,25.97,1093.63
109,A319,6.508,39.5,460.77
112,A319,5.72,44.11,2117.02
113,A319,6.614,66.6,469.05
115,A319,6.312,36.58,1151.46
116,A319,7.106,42.17,1272.79
119,A319,8.031,12.27,490.04
121,A319,7.77,57.19,1195.11
124,A319,7.976,47.03,1799.02
126,A319,8.649,11.3,298.11
128,A319,5.898,14.71,1737.17
131,A319,6.521,35.61,1504.74
136,A319,5.976,41.81,2125
138,A319,8.589,60.48,1859.33
140,A319,7.353,30.75,1847.99
141,A319,6.98,40.52,1889.23
145,A319,6.035,57.87,994.85
147,A319,7.215,20.89,2159.09
148,A319,8.318,34.9,930.49
149,A319,8.493,45.05,1668.78
150,A319,7.759,40.68,1544.98
153,A319,8.25,69.12,482.77
154,A319,8.109,14.49,509.33
156,A319,8.005,10.22,1160.26
157,A319,6.767,56.3,603.34
158,A319,8.147,37.16,2126.42
160,A319,7.791,21.73,988.81
162,A319,8.697,50.13,1122.93
163,A319,9.447,55.21,1812.73
165,A319,9.488,15.33,731.09
166,A319,9.336,32.23,1035.26
167,A319,9.023,13.52,715.63
169,A319,7.876,69.42,1797.23
170,A319,6.411,62.47,1599.74
171,A319,7.943,59.48,309.45
173,A319,7.412,45.13,1504.3
175,A319,8.284,44.28,1353.47
176,A319,7.114,41.32,731.86
177,A319,9.579,19.96,651.34
179,A319,8.931,35.71,1139.87
181,A319,7.477,38.63,886.78
182,A319,5.859,66.3,1096.44
184,A319,5.986,24.53,1421.31
185,A319,7.42,52.41,371.4
187,A319,8.964,17.38,627
189,A319,6.579,67.06,2118.9
190,A319,9.386,58.61,322.28
191,A319,6.927,25.58,1130.12
192,A319,8.752,32.46,411.81
195,A319,7.702,40.38,1091.69
