,Aircraft_Type,Check_A_Part_Price,Check_B_Part_Price,Check_C_Part_Price
0,A319,48.55,,
1,A319,,,
2,A319,,,1369.37
3,A319,,51.46,
4,A319,,,
5,A319,,,
6,A319,,32.65,
7,A319,,,1913.35
8,A319,,,1262.32
9,A319,7.435,,801.54
10,A319,,,
11,A319,,,
12,A319,,,
13,A319,,34.6,
14,A319,,,
15,A319,,,
16,A319,,,1417.74
17,A319,,,
18,A319,,,
19,A319,8.984,,
20,A319,,,
21,A319,7.699,,
22,A319,7.797000000000001,,
23,A319,,,
24,A319,,,
25,A319,,,
26,A319,,25.23,785.73
27,A319,,,
28,A319,73.39,15.59,
29,A319,,,1366.99
30,A319,,,
31,A319,,,
32,A319,9.25,41.48,
33,A319,,,1187.19
34,A319,,,1850.75
35,A319,,,
36,A319,,,
37,A319,,36.55,
38,A319,,,
39,A319,,,
40,A319,8.191,12.84,
41,A319,,,
42,A319,,,
43,A319,,44.82,
44,A319,,27.21,
45,A319,,,
46,A319,,,
47,A319,,,
48,A319,9.046,,
49,A319,,,
50,A319,,,
51,A319,6.981,,
52,A319,,,2097.04
53,A319,9.172,,
54,A319,,,
55,A319,,,
56,A319,,,
57,A319,,,
58,A319,6.85,4.42,
59,A319,,10.93,
60,A319,,,
61,A319,7.77,,
62,A319,,,
63,A319,,,
64,A319,,55.99,
65,A319,,,
66,A319,,,
67,A319,,,
68,A319,,,
69,A319,,,
70,A319,6.41,,
71,A319,,,1375.1
72,A319,,,
73,A319,,,
74,A319,,,
75,A319,,50.08,
76,A319,,36.32,
77,A319,8.999,,
78,A319,,,
79,A319,,,
80,A319,,,
81,A319,,,
82,A319,,,
83,A319,,,
84,A319,8.293,,
85,A319,,47.69,
86,A319,,,1505.31
87,A319,,68.54,
88,A319,,,
89,A319,8.865,,
90,A319,,,
91,A319,,21.1,
92,A319,6.1,,
93,A319,,,
94,A319,,,
95,A319,,25.29,1428.49
96,A319,,,
97,A319,,65.22,
98,A319,,,2014.63
99,A319,,,
100,A319,,,
101,A319,,,308.44
102,A319,,,
103,A319,,,
104,A319,6.644,,
105,A319,,,
106,A319,,,1257.55
107,A319,,,
108,A319,,23.38,1959.07
109,A319,,,
110,A319,,20.07,
111,A319,,,
112,A319,5.72,,
113,A319,,66.6,
114,A319,,,
115,A319,,,
116,A319,,,
117,A319,6.992999999999999,,226.84
118,A319,,,
119,A319,,12.27,490.04
120,A319,,,1079.32
121,A319,,,
122,A319,,,
123,A319,,,
124,A319,,,
125,A319,8.28,55.29,
126,A319,,,
127,A319,5.716,,
128,A319,,,
129,A319,,,
130,A319,,22.06,
131,A319,6.521,35.61,
132,A319,,,
133,A319,,,
134,A319,,,
135,A319,6.8,,
136,A319,,,
137,A319,,,
138,A319,,,
139,A319,,,
140,A319,7.353,,
141,A319,,,
142,A319,,57.41,847.62
143,A319,,,
144,A319,7.311,,
145,A319,,,
146,A319,8.45,,
147,A319,,20.89,
148,A319,8.318,,
149,A319,,,
150,A319,,,
151,A319,,,
152,A319,,,
153,A319,,69.12,
154,A319,,14.49,
155,A319,,,
156,A319,,10.22,
157,A319,,,
158,A319,,,
159,A319,,,
160,A319,,,988.81
161,A319,,,1147.68
162,A319,8.697000000000001,,1122.93
163,A319,,55.21,
164,A319,,,
165,A319,9.488,,731.09
166,A319,,32.23,1035.26
167,A319,9.023,,
168,A319,7.282,,
169,A319,,,1797.23
170,A319,,,1599.74
171,A319,,,
172,A319,,,
173,A319,7.412000000000001,,
174,A319,,,
175,A319,8.283999999999999,44.28,
176,A319,7.114,,
177,A319,,,
178,A319,,,
179,A319,,,
180,A319,,,
181,A319,,,
182,A319,,66.3,1096.44
183,A319,,,
184,A319,,,
185,A319,,,
186,A319,8.786,,1490.24
187,A319,,17.38,
188,A319,8.593,38.81,
189,A319,6.579,,
190,A319,,,
191,A319,,,
192,A319,,,
193,A319,,,
194,A319,,,673.12
195,A319,,,
196,A319,,,
197,A319,,,867.18
198,A319,9.144,66.05,
199,A319,,,2086.86
200,A319,9.226,61.7,
201,A319,,,
202,A319,,52.98,
203,A319,,,925.73
204,A319,,,
205,A319,,,
206,A319,,,
207,A319,,,
208,A319,7.818,,
209,A319,7.64,,
210,A319,,19.98,
211,A319,,,
212,A319,5.621,43.35,
213,A319,,,577.65
214,A319,,38.19,
215,A319,,,
216,A319,,,
217,A319,,,2165.18
218,A319,,,
219,A319,8.949,,
220,A319,,65.4,
221,A319,6.417999999999999,,
222,A319,,,
223,A319,,63.65,
